s1_id,match_id,country,s1_name,match_name,s1_addr,match_addr
S1-561341312,S3-619529814,India,Balaji Investment Private Limited,Balaji Insvstemnt Private Limited,"Plot No. D-88 & D-90, Hyd, Telangana, Hyderabad, Jeedimetla","Plot No. D-88 & D-90, Hyd, Shapurnagar, TG"
S1-777597828,S2-836452886,US,Uptown Pub,UPTOWN  PUB CO,"6114 10th Avenue, Spokane Valley, WA","6114 10RD AVENUE, SPOKANE VALLEY, WA"
S1-777597828,S3-413669121,US,Uptown Pub,Solkeloquo,"6114 10th Avenue, Spokane Valley, WA","6114 Tenth Ave, Spokane Valley, Washington"
S1-282467635,S2-938895481,India,Prem & Sons Pvt Ltd,Prem & Pvt Ltd Services,"D-4, Chandana Apartments82, Infantry Road, Bangalore, Karnataka","D-4, CHANDANA APARTMENTS82, INFANTRY ROAD, Karnataka"
S1-282467635,S3-138350041,India,Prem & Sons Pvt Ltd,Prem & Pvt Ltd Partners,"D-4, Chandana Apartments82, Infantry Road, Bangalore, Karnataka","D-4, Bangalore, KA"
S1-727602285,S2-976870196,India,Swastik Om Solutions LLP,स्वस्तिक ॐ सॉल्यूशंस एलएलपी,"201/D, Aditya, Svp Nagar Andheri (W), Mumbai, Mumbai City, Maharashtra","201/D, BHIWANDI, MUMBAI CITY, Maharashtra"
S1-727602285,S2-947230367,India,Swastik Om Solutions LLP,स्वस्तिक ॐ सॉल्यूशंस एलएलपी,"201/D, Aditya, Svp Nagar Andheri (W), Mumbai, Mumbai City, Maharashtra","201/D, ADITYA, SVP NAGAR ANDHERI (W), BHIWANDI, MUMBAI CITY, Maharashtra"
S1-727602285,S2-23141904,India,Swastik Om Solutions LLP,>> SWASTIK OM SOLUTIONS L.L.P.,"201/D, Aditya, Svp Nagar Andheri (W), Mumbai, Mumbai City, Maharashtra","201/D, BHIWANDI, BOMBAY, महाराष्ट्र"
S1-727602285,S2-138660620,India,Swastik Om Solutions LLP,[LLP] Swastik Om Solutions,"201/D, Aditya, Svp Nagar Andheri (W), Mumbai, Mumbai City, Maharashtra","201/D, BHIWANDI, BOMBAY, Maharashtra"
S1-727602285,S3-204655096,India,Swastik Om Solutions LLP,Swastik Om LLP Service,"201/D, Aditya, Svp Nagar Andheri (W), Mumbai, Mumbai City, Maharashtra","01/D, Mumbai City, महाराष्ट्र"
S1-65263544,S2-881122703,US,Caldeon Nova,Caldeon  Nova,"1 Greenbrier Drive, Kimberling City, MO","GREENBRIER DRIVE, KIMBERLING CITY, MO"
S1-65263544,S2-998270769,US,Caldeon Nova,CALDEON NOVA LLC,"1 Greenbrier Drive, Kimberling City, MO",
S1-65263544,S2-180463458,US,Caldeon Nova,CALDEON NOVA,"1 Greenbrier Drive, Kimberling City, MO","MO, KIMBERLING CITY, 1 GREENBRIER DRIVE"
S1-65263544,S3-403476502,US,Caldeon Nova,Caldeon Nova,"1 Greenbrier Drive, Kimberling City, MO","#1 Greenbrier Drive, Kimberling City, Missouri"
S1-65263544,S3-102573485,US,Caldeon Nova,>> caldeon nova,"1 Greenbrier Drive, Kimberling City, MO","#1 Greenbrier Dr, Kimberling City, Missouri"
S1-65263544,S3-350074034,US,Caldeon Nova,Caldeon NOVA,"1 Greenbrier Drive, Kimberling City, MO","#1 Greenbrier Drive, Missouri, Kimberling City"
S1-840162906,S2-129529678,US,Summit Health LLC,Summit Health Enterprises,"95 Forest Edge Drive, Eads, TN",
S1-840162906,S3-800978181,US,Summit Health LLC,Summit Health L.L.C.,"95 Forest Edge Drive, Eads, TN","Forest Edge Drive, Eads, Tennessee"
S1-840162906,S3-139858754,US,Summit Health LLC,summit health llc,"95 Forest Edge Drive, Eads, TN","95 Forest Edge Dr, Eads, Tennessee"
S1-840162906,S3-762681944,US,Summit Health LLC,Summit Helnaorh (LLC),"95 Forest Edge Drive, Eads, TN","95 Forest Edge Drive, Eads, Tennessee"
S1-840162906,S3-799520471,US,Summit Health LLC,summithealth.com,"95 Forest Edge Drive, Eads, TN","95 Forest Edge Drive, Eads, Tennessee"
S1-264156494,S2-184087846,India,Diksha Technologies Private Limited,Dr Diksha Private Limited Services,"A-401, Nitesh Central Par, Bagalur Main Road, Bangalore North, Bangalore, Karnataka","A-401, NITESH CENTRAL PAR, BAGALUR MAIN ROAD, BANGALORE NORTH, Karnataka"
S1-264156494,S3-562014765,India,Diksha Technologies Private Limited,Diksha Technologies Private Ltd,"A-401, Nitesh Central Par, Bagalur Main Road, Bangalore North, Bangalore, Karnataka","A-401, Nitesh Central Par, Bagalur Main Road, Bangalore, Bangalore North, KA"
S1-264156494,S3-544213330,India,Diksha Technologies Private Limited,Diksha Technologies Private,"A-401, Nitesh Central Par, Bagalur Main Road, Bangalore North, Bangalore, Karnataka","A-401, Nitesh Central Par, Bagalur Main Road, Bangalore North, Bangalore, KA"
S1-567308588,S2-191200521,US,Zander Blue Co,zblue.com,"9236 Meadowmont View Drive, Charlotte, NC","9238 MEADOWMONT VIEW DR, CHRALOTTE CITY, NC"
S1-567308588,S2-964733072,US,Zander Blue Co,ZANDER BLUE [CO],"9236 Meadowmont View Drive, Charlotte, NC","9238 MEADOWMONT VIEW DRIVE, CHRALOTTE CITY, NC"
S1-567308588,S2-226928496,US,Zander Blue Co,Zander Blrie Co,"9236 Meadowmont View Drive, Charlotte, NC","9238 MEADOWMONT VIEW DR, CHRALOTTE CITY, NC"
S1-567308588,S3-595927967,US,Zander Blue Co,Zander Blue Company,"9236 Meadowmont View Drive, Charlotte, NC","9236 Meadowmont View Drive, Charlotte, North Carolina"
S1-567308588,S3-21806256,US,Zander Blue Co,zanderblue.com,"9236 Meadowmont View Drive, Charlotte, NC","Charlotte, 9236 Meadowmont View Dr, North Carolina"
S1-567308588,S3-764465670,US,Zander Blue Co,ZB,"9236 Meadowmont View Drive, Charlotte, NC","9236 Meadowmont View Drive, Charlotte, NC"
S1-292935703,S2-195749344,US,Cozy Grill,gcozy.com,"617 Fourth Street, Watseka, IL","617 FOURTH ST, WATSEKA, IL"
S1-292935703,S2-617410789,US,Cozy Grill,Cozy Grill Corp,"617 Fourth Street, Watseka, IL","4TH STREET, WATSEKA, IL"
S1-292935703,S2-516200703,US,Cozy Grill,Cozy Grill Services,"617 Fourth Street, Watseka, IL","617 4TH ST, WATSEKA, IL"
S1-292935703,S3-421403180,US,Cozy Grill,Cozy [Gríll],"617 Fourth Street, Watseka, IL","Fourth Saint, Watseka, Illinois"
S1-292935703,S3-942647343,US,Cozy Grill,Cozy Gle,"617 Fourth Street, Watseka, IL","617 4th Street, Watseka, Illinois"
S1-292935703,S3-533626303,US,Cozy Grill,Beloecto aka Cozy Grill,"617 Fourth Street, Watseka, IL","617 Fourth Street, Watseka, IL"
S1-439810025,S2-983636768,US,"Tiena L. Hamilton, DDS","Tiena L. Hamilton, Sérvices","31415 Orchard Hill Lane, Spring, TX","31415 ORCHARD HILL LN, SPRING CITY, TX"
S1-439810025,S3-975833735,US,"Tiena L. Hamilton, DDS","dds l. hamilton, tiena","31415 Orchard Hill Lane, Spring, TX","Orchard Hill Lane, Spring, Texas"
S1-525304403,S2-815373751,India,True Factory Ltd,True Factory-Ltd,"C/O Sri G P Srivastva At, Idagah Mohall, Dehri-On-S, Dehri, Rohtas, Bihar","C/O SRI G P SRIVASTVA AT, IDAGAH MOHALL, DEHRI-ON-S, DEHRI, Bihar"
S1-525304403,S2-293401164,India,True Factory Ltd,truefactory.com,"C/O Sri G P Srivastva At, Idagah Mohall, Dehri-On-S, Dehri, Rohtas, Bihar","C/O SRI G P SRIVASTVA AT, IDAGAH MOHALL, DEHRI-ON-S, DEHRI, बिहार"
S1-525304403,S3-477957595,India,True Factory Ltd,true factory ltd,"C/O Sri G P Srivastva At, Idagah Mohall, Dehri-On-S, Dehri, Rohtas, Bihar","C/o Sri G P Srivastva At, Idagah Mohall, Dehri-on-s, Dehri, Rohtas, BR"
S1-314714647,S2-968477409,India,Seabird (India) Projects-Lucknow,Seabird (India),"Lucknow, 3/77, Lucknow, Vipul Khand, Opp. Study Hall School Gomtinagar, Uttar Pradesh","3/77, VIPUL KHAND, OPP. STUDY HALL SCHOOL GOMTINAGAR, LUCKNOW, Uttar Pradesh"
S1-314714647,S2-46909251,India,Seabird (India) Projects-Lucknow,Seabird (India) Projects-Lucknow,"Lucknow, 3/77, Lucknow, Vipul Khand, Opp. Study Hall School Gomtinagar, Uttar Pradesh","3/77, VIPUL KHAND, OPP. STUDY HALL SCHOOL GOMTINAGAR, LUCKNOW, Uttar Pradesh"
S1-314714647,S3-837108914,India,Seabird (India) Projects-Lucknow,Mr Seabird (India) Projects-Lucknow LLP,"Lucknow, 3/77, Lucknow, Vipul Khand, Opp. Study Hall School Gomtinagar, Uttar Pradesh","3/7, Vipul Khand, Opp. Study Hall School Gomtinagar, Lucknow, UP"
S1-314714647,S3-192802051,India,Seabird (India) Projects-Lucknow,Xylonexbrix,"Lucknow, 3/77, Lucknow, Vipul Khand, Opp. Study Hall School Gomtinagar, Uttar Pradesh","3/7, Lucknow, UP"
S1-616588883,S2-603899205,US,Cao Assets Inc,Cao Aofianehs Inc,"769 Sir Philip Drive, Salt Lake City, UT","69 SIR PHILIP DR, SALT LAKE CITY, UT"
S1-616588883,S3-200505774,US,Cao Assets Inc,Cao Ássets Inc,"769 Sir Philip Drive, Salt Lake City, UT","Salt Lake City, Utah, 769 Sir Philip Dr"
S1-616588883,S3-625680391,US,Cao Assets Inc,Cao Assets,"769 Sir Philip Drive, Salt Lake City, UT","769 Sir Philip Drive, Salt Lake City, Utah"
S1-72310418,S2-516305116,India,Burger Solution Limited,Sri Burger  Solution,"Flat No. A702, 1St Main, Mantri Classic, 8Th Cross S.T. Bed Layout, Koramangala, Bangalore, Karnataka","DOOR NO 25 FLAT NO. A702, 1ST MAIN, MANTRI CLASSIC, 8TH CROSS S.T. BED LAYOUT, KORAMANGALA, BANGALORE, Karnataka"
S1-72310418,S2-11779506,India,Burger Solution Limited,Burger Solutino Limited,"Flat No. A702, 1St Main, Mantri Classic, 8Th Cross S.T. Bed Layout, Koramangala, Bangalore, Karnataka","NO 25 FLAT NO. A702, 1ST MAIN, MANTRI CLASSIC, 8TH CROSS S.T. BED LAYOUT, KORAMANGALA, BANGALORE, Karnataka"
S1-72310418,S3-570980846,India,Burger Solution Limited,Burger Shutgon Limited,"Flat No. A702, 1St Main, Mantri Classic, 8Th Cross S.T. Bed Layout, Koramangala, Bangalore, Karnataka","Flat No. A702, Bangalore, KA"
S1-72310418,S3-731160199,India,Burger Solution Limited,Burgersolution.Com,"Flat No. A702, 1St Main, Mantri Classic, 8Th Cross S.T. Bed Layout, Koramangala, Bangalore, Karnataka","Flat No. A702, Bangalore, KA"
S1-9962387,S2-15221089,India,Systel Buildstructure (India) Private Limited,Systel Buildstructure (India),"1401, 14Th Floor, Plot -161, Raheja Majestic Manorama Nagarkar Marg, Taikalwadi, Mahi, M, Mumbai, Mumbai City, Maharashtra",
S1-9962387,S3-160760047,India,Systel Buildstructure (India) Private Limited,systelbuildstructureindia.com,"1401, 14Th Floor, Plot -161, Raheja Majestic Manorama Nagarkar Marg, Taikalwadi, Mahi, M, Mumbai, Mumbai City, Maharashtra","#162 1401, 14Th Floor, Plot -161, Raheja Majestic Manorama Nagarkar Marg, Taikalwadi, Mahi, M, Mumbai, Mumbai City, MH"
S1-9962387,S3-13637230,India,Systel Buildstructure (India) Private Limited,Systel Buildstructure Buildstructure (India) Private Ltd,"1401, 14Th Floor, Plot -161, Raheja Majestic Manorama Nagarkar Marg, Taikalwadi, Mahi, M, Mumbai, Mumbai City, Maharashtra","#162 1401, 14Th Floor, Plot -161, Raheja Majestic Manorama Nagarkar Marg, Taikalwadi, Mahi, M, Mumbai, Mumbai City, MH"
S1-463669205,S2-301757320,US,Beacon Municipals LLC,Beacon Mumnicilpas LLC,"15602 60, Borden, IN","1560 60, BORDEN, IN"
S1-463669205,S3-242940401,US,Beacon Municipals LLC,LLC 8eacon Muniecipafs,"15602 60, Borden, IN","15602 60, Borden, Indiana"
S1-116043204,S3-85523430,India,Red Consultants Pvt. Ltd.,Red Pvt. Ltd. Center,"C/O Tapas Kumar Betal, Bhogpur, Purba Medinipur, Panskura, East Midnapore, West Bengal",
S1-818149988,S2-489380965,US,Vadyne Inc,Vadyne Incorporated #34301,"Greensboro, 1604 Washington Street, NC","1604 WASHINGTON STREET, GREENSBORO, NC"
S1-818149988,S2-178277614,US,Vadyne Inc,Vadyne Inc,"Greensboro, 1604 Washington Street, NC","1604 WASHINGTON STREET, GREENSBORO, NC"
S1-818149988,S2-172270636,US,Vadyne Inc,Vadyne Inc,"Greensboro, 1604 Washington Street, NC","1604 Washington St, GREENSBORO, NC"
S1-818149988,S3-965578558,US,Vadyne Inc,Vagdyae Inc,"Greensboro, 1604 Washington Street, NC","01604 Washington Street, PMB 841, Greensboro, North Carolina"
S1-876102895,S2-358560681,US,Physical Therapy Clinic,PHYSlCAL THERAPY CLINIC,"5208 Beacon Falls Drive, Fl 1, Columbia, MO","BEACON FALLS DR, COLUMBIA, MO"
S1-876102895,S2-791711694,US,Physical Therapy Clinic,Physical [Clinic] Therapy,"5208 Beacon Falls Drive, Fl 1, Columbia, MO",
S1-876102895,S3-949391374,US,Physical Therapy Clinic,Physical Therapy Clinic Inc.,"5208 Beacon Falls Drive, Fl 1, Columbia, MO","005208 Beacon Falls Drive, Fl 1, Columbia, Missouri"
S1-876102895,S3-856057185,US,Physical Therapy Clinic,Physical  Therapy-Clinic,"5208 Beacon Falls Drive, Fl 1, Columbia, MO","005208 Beacon Falls Dr, Fl 1, Columbia, Missouri"
S1-730719211,S2-467798366,US,"Renee G. Garcia, O.D.","Renee G. Garcia,","516 Main Street, Cleburne, TX","51 MAIN ST, CLEBURNE, TX"
S1-730719211,S2-61695240,US,"Renee G. Garcia, O.D.","RENEE G. GARCIA, O.D.","516 Main Street, Cleburne, TX","TX, CLEBURNE, 51 MAIN STREET"
S1-730719211,S2-241456014,US,"Renee G. Garcia, O.D.","renee g. garcia, o.d.","516 Main Street, Cleburne, TX","51 MAIN STREET, CLEBURNE, TX"
S1-730719211,S3-951830396,US,"Renee G. Garcia, O.D.","Renee G Garcia, OD","516 Main Street, Cleburne, TX","516 Main St, Cleburne, Texas"
S1-491795528,S2-910694348,India,Anushree Sangh,Anushree Sangh  Ltd,"Row House No B4, 14 /15, Hill View, Surekha Niwas Siddhivinayak Nagari, Nigdi, Pune, Maharashtra","HN 31 ROW HOUSE NO B4, 14 /15, HILL VIEW, SUREKHA NIWAS SIDDHIVINAYAK NAGARI, NIGDI, PUNE, महाराष्ट्र"
S1-491795528,S2-977672203,India,Anushree Sangh,M/s Anushree Sangh,"Row House No B4, 14 /15, Hill View, Surekha Niwas Siddhivinayak Nagari, Nigdi, Pune, Maharashtra","HN 31 ROW HOUSE NO B4, 14 /15, HILL VIEW, SUREKHA NIWAS SIDDHIVINAYAK NAGARI, NIGDI, PUNE, Maharashtra"
